Guid,SBQQ__ProductRule__c,SBQQ__Active__c,SBQQ__AscendingNestedLevel__c,SBQQ__DescendingActionNesting__c,SBQQ__DescendingNestedLevel__c,SBQQ__ProductFeature__c,SBQQ__Product__c
a856adaa-006e-46aa-a255-3354e17d52e3,74639167-71df-454e-8e68-1c2883d878ab,false,#N/A,#N/A,#N/A,#N/A,5b450060-dc41-4bfe-ac45-ebeb6717429a
cd579792-4594-43c5-84a2-15ba28ddedc1,b22018dd-0789-4015-a171-d1c34300a15e,false,#N/A,#N/A,#N/A,#N/A,bbce2c91-a5d7-47e0-b84b-c8f6e68a0bcd
5c28285d-b301-494e-a93d-a3fea536635d,9594a47b-b0eb-418e-a3fa-4eabbf03189e,false,#N/A,#N/A,#N/A,#N/A,5b450060-dc41-4bfe-ac45-ebeb6717429a
